Training_1	Training_2	Training_3	Training_4	Training_5	Training_6	Training_7	Training_8	Training_9	Training_10	Training_11	Training_12	Training_13	Training_14	Training_15	Training_16	Training_17	Training_18	Training_19	Training_20	Training_21	Training_22	Training_23	Training_24	Training_25	Training_26	Training_27	Training_28	Training_29	Training_30	Training_31	Training_32	Training_33	Training_34	Training_35	Training_36	Training_37	Training_38	Training_39	Training_40	Training_41	Training_42	Training_43	Training_44	Training_45	Training_46	Training_47	Training_48	Training_49	Training_50	Training_51	Training_52	Training_53	Training_54	Training_55	Training_56	Training_57	Training_58	Training_59	Training_60	Training_61	Training_62	Training_63	Training_64	Training_65	Training_66	Training_67	Training_68	Training_69	Training_70	Training_71	Training_72	Training_73	Training_74	Training_75	Training_76	Training_77	Training_78	Training_79	Training_80
"HSPH1"	4.5848049924	4.6350569488	5.1995838059	4.8715604115	4.6004977257	3.4105900032	3.6657396443	3.6671629797	5.793483207	4.5477753854	4.8905212597	4.0285744155	3.5438529814	5.4163224761	4.8328392252	4.5508193974	4.5047484968	5.21691069	5.3200522958	3.7752871261	4.7356342184	5.3505656353	4.2796107579	3.8529517503	4.154491333	4.7620705213	5.1526292244	3.9497750718	5.6055169244	4.5017201605	4.5532112684	4.0980696051	6.0177757855	5.0374779544	3.8686762585	4.8614420396	4.0289653813	3.2693631062	4.5120410937	4.9653045911	5.1178158758	4.1977503736	5.199151832	5.0038947721	3.8596385193	3.7518283971	4.1467771985	4.6369086163	4.0880092812	4.2274389126	5.5006695713	3.9552866664	4.0368949524	5.3924827586	4.8240770263	4.4127363643	4.7383912929	6.1006956347	4.5915554422	4.7563051238	5.6556191034	4.3349561414	5.1005929422	3.8282209866	4.3704714896	3.2926770286	3.6180855033	4.6382797756	3.8516851901	5.363624203	5.146378751	4.8374567227	4.8026379805	3.6338195698	4.2079732546	5.498406888	4.2786469145	3.7752871261	3.8862422358	5.3863788195
"HTATIP2"	2.7039717567	3.1304542847	3.5335483252	2.5056116274	2.9986668019	2.1290280155	0	0	2.9022668885	1.1100642872	2.8662723441	2.5913985334	3.0320902256	3.5921924327	1.428337895	3.3283756843	2.4752710603	2.9609010677	2.0508755067	2.9467140407	3.1189516809	2.4425135846	2.1881612992	0	0	3.1087464238	2.5547170326	1.8209793271	1.0997790134	2.2715419155	3.1188412461	3.4209262609	1.507650438	3.3235901514	1.871688625	2.7256692256	0	2.4440827217	2.1882789538	3.4057494586	3.0326768646	2.7615950949	1.0772458837	2.6270660757	0	2.3429982827	2.2067961895	2.1635522319	2.6403985629	1.7908072545	3.243124387	1.7592092941	1.8989177253	3.60735414	2.3377138165	1.4012536738	2.294904216	2.8929605281	2.7045640394	1.8042478896	2.8254243115	3.2460225766	2.6120280683	1.6632397251	2.3908147865	2.5876268341	1.2311880197	3.0432132908	1.0824627167	2.7156596572	2.053344095	3.0756517246	2.5150599623	1.6644202249	2.1712950059	2.1000297722	3.6871553908	2.9467140407	2.6549356506	2.4906012167
"HTATSF1"	0	0	1.0263133328	1.7327131084	1.1025561508	0	0	0	2.4050361573	1.8384941258	0.9901578535	0	1.0723763655	2.6812191999	0.9901578535	1.6483989306	0	1.1044548543	1.5747276016	1.5455176662	0	0	0	0	0	1.0112666044	2.1344674872	0	1.0955339521	1.6713214929	0	0	2.3421485819	0	1.4284127644	1.0090046709	1.1186441805	1.9900768634	1.0120695105	0	1.4358768525	1.6276885408	1.8676414164	2.1389028484	0	1.0042704515	1.2043446635	0	2.3140319552	0	1.845111195	1.7160217227	0	2.5749590798	0	2.7390551451	1.0007574297	1.7991422689	0	0	1.2996051428	1.7039842591	2.7584163936	1.7125256931	1.573929706	1.0007574297	0	2.8956422513	1.0791326085	2.3453309591	1.1956796264	1.7142054175	1.0090046709	0	1.0176797029	1.7605828988	1.1955930267	1.5455176662	0	0.99154957
"HTRA1"	2.4305782556	0	1.0522831973	2.9624894112	2.2090036508	1.0343776235	1.0506913263	0	1.8511268959	1.0810371632	1.8340638511	1.1848027316	2.8480082591	3.1236009978	1.7371244946	3.6266274279	1.2076570107	2.7823538382	1.9455241057	1.5890235391	2.0652175403	2.3488214508	2.8754513447	1.0875864642	2.3980380322	2.5214347749	1.6482708527	4.4039874928	3.1720592401	2.5237465398	0	1.2876418555	0	0	2.582638556	1.0343776235	0	1.0478228628	0	0	1.0343776235	0.9927164848	0	0	3.1171736613	1.5162566586	1.8184119116	1.5171865594	1.0407257942	3.0767043854	1.0360430825	1.6779352829	2.5702089953	1.3624878302	3.4297913184	1.7164367761	2.4407214068	1.7593147541	1.7934036071	0	0	2.6942208007	1.6179499592	0	2.7339959575	1.4563734208	0	1.0343776235	2.7347098966	0.9994837858	2.4202746152	2.681764802	1.0343776235	0	1.0433518504	0	0	1.5890235391	1.7696615521	2.3493663124
"HTRA2"	1.0502784877	1.0545202321	0	0	1.0834338063	1.0374882728	1.0530064479	1.062971531	1.5979186008	1.0861756554	1.577836971	1.1936227967	1.7815738965	2.1553166228	1.7674290539	2.9383323696	0.9700999121	1.8373700223	2.3285022851	1.0417625585	2.0086362287	1.5073172742	1.662440339	3.1939051392	0	2.3318557662	1.0226068758	1.1168841462	2.5622011252	1.2797051164	1.0226068758	1.3002614234	1.0374882728	1.5233118585	2.1355158033	2.1970387859	1.1452053003	1.9921290814	1.9681859318	1.5639930384	1.0374882728	0.9948710759	0	0	1.1325676644	0	1.1863047784	3.2368104557	1.5483297017	1.7360062979	2.3997809239	1.0362532643	1.0874003735	1.79051925	0	0.9700999121	1.8720633904	1.5066607438	2.2677308124	2.4530652209	2.0392831988	2.3031598454	2.0461685806	1.055452091	0.9913615388	0	1.2018922871	1.4550467464	1.0597914128	1.0018614517	1.9866816975	1.0328552291	1.3654357882	1.6153837104	1.0460259466	1.7701670237	1.1774521418	1.0417625585	2.1484854785	0
"HTT"	1.1901701011	2.0528435421	0	1.2155516201	0	2.7707610187	0	0	2.8329333982	2.2840594077	3.4452048597	1.7796909059	2.7341390649	1.6593286474	2.6598948157	2.2586414227	3.3287404633	2.485852334	1.3848176962	1.1787716277	0	1.808351047	2.7376490814	3.5297203894	1.8784535705	2.6081775067	1.4800895504	0	1.5776782145	2.8841095278	0.9299361452	3.3055196112	2.4973295817	1.1730534264	2.6363761503	1.1730534264	0	2.8733584805	2.4328825533	1.1787716277	3.1634462889	2.5281057899	1.2575099684	2.6585478704	1.3006660154	2.7147389294	3.1033918456	3.2193410508	1.8640666119	0.9443385245	2.4710178171	2.1567350989	2.742933641	2.5670147178	0.9775051484	2.395814739	2.3930901903	2.8015786209	0.975349635	2.7156225027	0	2.5759116527	0	0	2.2532420768	2.5298515793	2.5891821275	1.1730534264	1.9245129259	2.6829277702	1.0607502026	1.9015747483	2.6518723371	0.9064743166	1.1844771776	0	1.7439815173	1.1787716277	1.20717337	3.4207864164
"HUWE1"	5.3390103179	5.2170914815	5.4430881248	5.4053296082	4.8698407804	5.0112550171	4.178054645	4.3783834121	5.8484772456	5.1399282609	5.1823193005	3.3643732743	4.7743759685	4.628642072	4.7911425078	5.3812031891	5.2335873606	5.1183457589	5.4918935192	4.8743678486	4.8127150058	5.303331867	4.9892957603	4.9202566737	4.615753968	5.0849129136	4.430656632	4.5085231332	4.9749666337	4.6078576175	5.2433235514	5.1980773363	5.384196271	6.2930970942	5.0165086474	5.136449411	4.4799068724	4.8182896377	5.0720151679	5.5104655014	5.5143393451	5.3531240817	5.6661624448	5.4791770658	4.2943729118	5.0541805901	5.2268680686	5.7373501937	5.2104567023	4.3757069116	5.4294218837	5.1321926494	3.9424230948	5.7544067813	4.8284993863	5.7548744106	5.3679320434	5.7969455681	4.7350672571	4.6455858367	5.3657324561	5.8955414335	5.1278493611	4.9484514693	5.2837509579	4.6983586002	4.3934629181	6.0913325129	4.3832168925	6.3156328543	4.8807110946	4.8809968251	5.3049168105	4.3710030588	3.6386012222	5.799468468	5.3127662606	4.8743678486	4.2209750722	5.4359944698
"HYOU1"	5.286074687	5.5888265484	5.1543992899	5.3862559406	5.0577906826	6.2738054942	5.2183059914	5.2006573226	5.2669041172	5.8414054284	5.6452708682	5.2484634087	5.3382583401	5.1801963242	5.5238953495	5.8675397927	5.8469995387	4.7989350908	5.7791353477	5.3054492946	5.1109661186	5.6828327116	5.6260612654	4.828841284	5.1299518936	5.14529023	5.3018863691	5.2394983031	5.1426278472	4.9536532025	5.100409628	5.8124196001	5.7092428205	5.7497685751	5.1700165876	5.7184376414	5.5869898362	5.990564133	5.4270163815	6.0206002294	5.2987776093	5.8038389557	4.8342938363	5.3699810712	4.9295647113	5.6323652696	5.7887262848	5.2405345805	5.3829422695	4.4954442088	5.3906362169	5.3715453439	5.8645756007	5.708282821	5.0884467788	5.437272178	5.5372194491	5.1335015135	5.4925780359	5.53080753	5.6750898128	5.5173291928	5.4512459417	5.3394316825	4.827362656	6.724877514	5.4009365124	5.7854329994	4.8932528931	5.1975700813	5.5012790894	4.889842184	5.6407410349	5.7503084444	6.1792513755	5.0786533434	5.9152541548	5.3054492946	5.4267676816	5.727046922
"IAH1"	1.1294020518	1.1336410619	2.1446329861	2.4514203797	1.0200462483	1.5513972732	0	2.4281449947	2.5684371747	0	1.8110882755	1.1297643967	2.200007852	2.8795416541	0.90783039	2.7419391133	2.1131588608	1.7795762288	2.5469746406	2.0670869362	0	2.5898465885	0.9562941368	1.8866135377	0	2.5440831759	1.6145364681	2.3870810326	0	2.7291649051	1.633410843	1.633410843	1.6301875946	2.8538475037	3.0035853927	1.1166130946	1.2240049522	2.816916899	1.6168881548	1.6360819493	2.2705284396	1.5546732095	2.3810928085	2.1897840874	2.0145619416	0.9218654487	1.7944944657	2.3055291107	1.1226534503	0	2.1722653135	2.0988020515	1.0239858187	1.3144604304	1.7682815015	0.90783039	2.1679737819	2.5839204937	2.219439325	1.9369722404	2.351404335	2.2557760282	1.6602902113	2.2099428911	2.7717966577	0.9183701985	2.5425998965	1.1166130946	2.1495434005	1.5432950594	1.9318264804	0	2.1850005189	0	2.3134400768	1.1420835133	0	2.0670869362	2.8054877253	1.737684421
"IARS"	5.022486039	5.4633883462	4.817110452	4.5424652085	4.9391173423	5.0311595618	4.3929619847	4.4081944898	5.2972492021	4.6576662319	5.2949319099	4.7268555839	4.4248591065	5.4338203045	4.9051580736	5.1317914712	5.1257488864	4.4314173246	4.9193451611	4.9107764844	4.3464239253	5.5723263436	4.424452019	4.205619311	4.7074235213	4.6782114367	4.9785893359	4.5023764721	4.689057571	4.9843328442	4.9042370638	4.9434255196	5.5240007222	5.6273928696	4.9984705718	4.9442874337	5.0807251895	4.9238075964	5.1373025619	4.8509435608	5.1383533011	4.9420666829	4.7680922729	4.9137830293	4.2575646593	4.6258114549	5.13096672	4.8271248562	5.3767945308	4.1586734734	5.4164038179	4.4824157093	4.695203496	5.0189556192	3.6457726496	4.54028247	4.9610643879	4.8739421674	4.3319686662	5.4435918891	4.9141707213	4.8463298606	5.2905016177	4.9918324571	4.6457315151	5.2392195402	4.4776730366	5.1756143257	4.6946492106	5.3652132366	3.8491711835	4.7717707833	5.2206728054	4.8440089058	5.1726180958	5.0940094475	4.4236129564	4.9107764844	4.8179771236	5.1271782143
"IARS2"	4.4775496133	4.1201307553	4.5817133749	4.1185253284	3.347227332	3.6146512421	4.220401471	3.9983865713	5.1189563277	4.2799917149	4.646992659	4.1707701854	3.3597782046	4.7866106749	4.2574335037	4.877337152	4.677294595	3.6992213457	4.5168243993	4.854824788	4.1410950381	4.6375408949	4.5223625487	3.2975037684	2.9317560587	4.4978727408	4.3069836738	3.4046231897	4.336373849	5.6565600822	4.9586265316	4.5502243978	4.9440464972	6.2599956938	4.05505151	3.5413058372	4.3392890662	4.009156354	4.1030656126	4.7752832838	4.7581053029	4.0021676753	4.2270772565	4.345225964	2.9836893953	4.4417414519	5.2438969652	4.8533141952	3.9699701152	3.5094295155	5.9537367015	3.9242097058	2.6160855819	4.1518342583	4.1616531038	4.4136104477	3.8867888752	5.1564817421	4.0001604602	3.6106379944	4.1931729021	4.2091100566	4.6437909616	4.0274479203	4.3108196932	4.5184093202	3.3250116513	4.8473635777	3.5505906916	4.2350726742	4.1258614897	3.5242365732	4.7250175686	4.5241052225	4.065222808	4.9260651639	4.6304317502	4.854824788	4.7618571015	4.6452775578
"IBA57"	1.0911518031	1.7801158908	1.0957303003	0	1.0483550857	1.5529106841	1.0940963043	1.1048533756	0.9408083161	1.0509561963	1.7932068154	0	1.0194571066	1.9699028514	1.9908127422	2.8136368016	2.8311153908	1.050173655	1.5023631956	1.6440945164	2.1272424882	2.4139060423	2.028315253	0	0	2.2344125942	0	0	1.0416297787	2.9476104853	2.6685643057	2.4129491626	2.1351752976	3.2051351414	1.3613114332	2.0008566935	2.6390767102	2.4372638385	1.6253958982	2.4584307676	1.9879860184	2.9660661576	1.9816100037	2.6527509738	1.1800191678	2.4500517177	1.7777248063	3.0175434811	1.0838658798	0	2.4500517177	2.3678330909	1.0521180413	3.1192223068	1.7532605218	1.676904976	0	2.6718214235	2.1733007997	1.5363949101	2.1603183551	1.2519750625	3.1740608597	1.8193169943	2.6860133086	2.3924530235	1.1607150772	2.8341336343	2.108337679	1.5428302173	1.9057536672	1.6371058138	1.9329476685	0.9643206118	1.0865619364	1.1048533756	2.3895439665	1.6440945164	1.8276782823	2.5223118181
"ICAM1"	1.8469181786	1.5457360416	1.9096355002	1.9278168462	1.1647823886	2.929826498	3.5342373242	3.1501238742	2.034454428	1.9747372614	3.1745347339	2.1882483824	3.1428405746	2.7444570431	1.906604148	2.789097935	2.988527205	2.4398420666	2.5091410323	3.0000688735	1.8366920364	2.5525179712	2.6569677189	3.0633646019	2.9171802828	2.5127269497	1.8068149296	3.1745988021	2.7586364385	1.7909854241	1.8269072957	2.1731440152	0.9607066754	1.3976809374	1.9559732153	2.6085922191	2.2695707644	2.9022115223	2.3253992719	2.9052896786	2.0287060458	1.7429853743	2.4297917999	1.952281214	2.5311160147	4.0206982844	2.3001048513	3.1363524562	2.525456465	3.8579707789	1.7330992042	2.3180003471	2.4795026761	1.9315063724	1.9700504906	1.8833811068	3.5265565148	2.4309880402	1.9697459902	1.9909781074	2.8484606209	2.972957247	2.2182741071	3.2254588211	2.782385551	3.5066302619	3.1975219369	1.9976415405	2.7370063084	1.7308351996	0	3.1871753012	2.7485046834	2.1876363254	3.1507855424	2.573234351	2.1430049534	3.0000688735	3.4990527799	2.5905811978
"ICAM2"	1.0316929399	1.0363540645	1.0363540645	1.0525212675	0	0	1.0346904278	1.0456457177	0	0	0	1.1978373958	0	1.0176480155	0	0.9855968284	0.9855968284	0	1.5445946474	1.6022040782	0	0	0	0	1.0486109922	1.5778743657	0	0	0	0	1.0356274323	0.9855968284	0	1.5590275499	1.4050212515	0	1.1363695803	1.0316929399	0	0	1.0176480155	0	0	1.0456457177	1.1223920214	0.9991520383	0.9855968284	0	0	0	0	0	1.0972082287	0.9855968284	0	0	0.9957781757	0	0	0	0	0.9855968284	0	1.0373782717	1.0058702605	0	0	1.0176480155	1.0709882365	1.5845582001	0	1.6775384535	0	1.0092147434	1.6155661282	0	0	1.6022040782	2.2678434481	0
"IDE"	1.6200854052	3.53391607	2.3014242902	2.7289344407	1.3292615872	3.5237789679	2.20360201	2.512975699	3.0057267684	2.0812833132	2.7878129981	1.4438199248	3.1224934634	2.9090904183	4.081104756	2.8096531023	1.860567204	2.4991213071	3.9524514807	2.5700402544	1.6081471478	3.6600942925	1.91622589	2.4701567362	2.6814877556	3.0085082621	2.3735354703	2.6186066261	0	1.5322341113	1.9469401176	1.9469401176	3.57201766	2.7214164902	3.2218429753	1.8099913176	3.1239075059	2.6955105248	3.5818405345	1.939401623	2.9143277557	2.8788877095	2.6628807595	2.1388681398	2.7027799672	3.7021648488	2.7496857883	2.5213803113	2.4382334412	1.2832547876	3.6892323574	2.955460985	0	1.6321148577	3.0966604043	2.3117972806	3.4606960791	3.2774734094	3.0920566778	2.5076477608	2.6617737608	2.5367534946	3.7946099552	2.156494657	2.5425509785	1.7302994626	2.3086057313	2.1082492987	0	3.272142073	0	2.721477788	4.2293658817	3.4132727474	3.0843166312	1.800901654	2.2331869552	2.5700402544	1.7575536565	2.6334026949
"IDH1"	4.4446497223	4.4673452993	4.7883906235	4.6236343361	3.8676258215	3.9908667217	3.9974993883	4.4522835436	4.6536409726	3.8438619221	3.711723105	3.7960860138	4.3842204647	4.3537422809	4.5732743327	3.9847099012	4.084021621	4.499704315	4.2764206347	5.1430070009	3.2028872956	5.6441755585	4.6712302234	3.9978218648	4.0558257667	4.2627881628	4.3672106697	4.416825471	3.6810316444	4.4459226364	4.7122511059	4.1414957439	4.89373942	5.172246144	4.6615318399	4.7833314764	4.3488979698	5.0363127836	4.4244172226	4.1472456181	4.9319184556	5.1937900338	2.4767177517	5.0033331766	4.0600485503	4.3449739805	4.3352339796	4.4912959614	3.9563336334	4.22088407	4.6055793701	4.5285126566	3.9093606024	4.5602143879	4.6782932551	4.5041376969	4.4202504967	4.6940478297	5.0350442294	4.7861063492	4.7941596907	4.9420862414	4.28481367	4.1784682144	3.3975892775	5.0253309818	3.5056885895	3.796058007	3.5938026076	4.1980503709	3.9746644357	4.2883028211	4.8228766662	5.0319438129	4.3991761216	2.8050326835	4.1192910984	5.1430070009	4.5511183074	4.1959985706
"IDH2"	5.4429556469	5.465125461	5.3027172856	5.5625534865	5.614920227	4.6321815863	5.5560880554	5.4388367963	5.5235909237	5.4587986843	5.613662575	4.985120857	5.4345991945	5.6942774523	5.9506052219	5.9919074366	5.3135004347	5.3206301921	5.6352493248	6.0045462857	5.4159889586	5.8187808571	5.1983527263	5.2644676705	5.2215874819	5.5984785334	5.3077802342	5.3330532703	5.4828690705	5.9206350333	6.1488812035	5.8589273429	5.6264317926	6.0376691088	5.2107007998	5.6092542205	4.7334923155	6.0384473146	5.4546251963	5.3706969787	5.4211357684	5.6063185532	5.5278161974	5.8132241582	4.9765548275	5.301672966	4.9963582882	5.6714440242	4.9931019079	5.7945535425	5.0680405246	5.6263279951	5.0305187352	6.1037578332	4.8235867691	5.7380461136	5.8290000777	6.0513964335	5.4922283669	5.1043010612	4.9658615921	5.29473401	6.0483665992	5.5955786888	5.1607090542	4.9772211869	5.7882311389	6.0144680688	5.4647009347	5.0164307795	5.02846359	5.2797063703	5.6315085665	6.0023139687	5.6397593881	4.7286435899	4.3188495225	6.0045462857	5.997134886	5.4906708944
"IDH3A"	4.0678406454	3.9918940166	3.8328194614	3.6783452618	4.426554548	3.8018171219	3.9100886437	3.8856781957	3.4552864317	3.975748178	2.838878213	2.4707794403	3.4205468973	3.6086437913	3.9631484635	4.1650008356	2.8585793345	3.6235161927	4.0748955691	4.5040511121	3.6331415558	4.0382128962	3.2298079278	2.3996221032	3.8263428669	3.6879866351	3.2298079278	2.8415633336	4.2808361428	4.2671440469	4.4686713362	3.9261439911	3.6949098414	3.8809435942	3.5311855493	3.8128121586	3.1223064448	3.9271835713	4.0608869239	3.6611760566	3.3858228679	3.7846893566	3.4801126865	4.1511317224	3.1212357018	3.4514454803	3.506407276	4.1091994046	3.6937393414	3.2405796279	3.7667872114	3.6599059568	2.2635504825	4.1195859167	3.3917598431	3.0331633696	4.0778804481	4.0828491107	3.3866288721	3.8719077644	3.756176589	4.1746774993	4.4107691315	3.6773444327	3.8570621181	3.6006894592	3.4742978474	4.3485935775	3.5215165992	3.7701436475	2.9525913812	3.9826550429	3.4788101208	4.9906681506	3.923574308	3.5281703393	3.349138331	4.5040511121	4.3523246726	3.3318830359
"IDH3B"	2.2802763736	2.3474541329	1.8242525089	2.6602478043	1.2234173942	2.180378322	3.1061550235	2.7841645692	2.6823567884	0	2.0942659621	0	1.9991185026	3.0508747568	2.5873383649	2.8783369688	2.6618403556	0	3.1322283937	2.5340291169	2.890493578	2.2392774675	2.3641305152	1.9444635845	2.3966402982	1.7964219149	2.7439435717	0.9731157592	1.2154439792	3.9028328472	2.7903337735	3.3529763825	1.7594806349	2.4887791846	2.6744815695	3.1315527777	0	3.2560466844	2.8904308709	2.0265945394	2.8070189938	2.9572486346	0.958970245	2.416143677	2.1493790896	2.5248875244	2.3835046741	3.3176307966	2.7629902459	2.7797122042	2.0603541781	2.4016516775	1.2278779127	3.0716227354	2.0481865182	2.6054946745	1.6557765799	3.2619047561	1.2154439792	3.0796805346	3.0952466389	3.2738683078	2.8261901211	2.4417646358	2.8715574365	1.6612641569	0	2.3406424124	2.4554813909	2.2402833125	2.2237317908	2.7779095173	2.6489864252	3.1542226176	2.8315951249	2.2194796379	1.3289746047	2.5340291169	1.5081212241	2.924383522
"IDH3G"	2.4989964383	1.7563480781	2.0124024031	1.7635182708	1.2543574289	2.0713039116	2.721209163	2.6208858267	1.8774458622	2.6775581962	1.8532812309	1.3883919777	2.0977523765	2.4940981712	2.0808295551	1.4661650109	1.417174021	1.256690894	2.339489905	1.958988824	2.3155985516	2.1248766114	2.4950566616	0.9448532304	2.0046254636	1.8770199111	1.1802939923	1.9520681463	1.2457277178	2.2889106143	1.1802939923	1.5178616058	1.9444816834	1.6242484732	1.6548722813	2.2166160871	0	2.4838478751	2.5961773747	2.1379254405	1.2379853915	1.8991098486	1.946986074	1.7852997261	0.9804247198	1.8049512524	2.7664364022	1.6042638276	2.4562075099	2.5675664796	2.6205733419	2.007065463	1.2591857652	1.6119874826	2.1511838202	1.5953991739	2.2058345745	2.6603623121	0	2.3478366028	2.1202780949	1.9923665108	2.0225123839	2.3090945945	1.8333096189	2.6205733419	0	2.3815064545	0	1.1550275424	0	2.0048478321	1.5374804514	1.8984500956	2.5410182773	2.1068688078	1.3687359428	1.958988824	2.0923975516	2.1152535616
"IER3IP1"	1.858451281	1.9120208303	0.9415090601	1.4306173516	1.2718225935	1.5414948333	1.3558511974	1.8816743188	1.4159457763	1.2757533719	0	0	1.2282173852	1.7204059064	1.1102426802	1.5230037545	2.0292438583	1.2745707037	1.1303987009	1.8574357901	1.0212690242	1.2645110802	1.1799147517	1.9963986442	1.2043315659	1.1404061478	1.1848669935	0.9865667967	1.2616637191	1.1102426802	1.1848669935	1.5847533622	0	0.9291572693	1.1102426802	1.5349376942	1.0069484774	1.6056042697	1.8100473502	1.6096574704	0.9291572693	0	1.5224165917	1.7066895992	0.9978594336	1.1303987009	1.4198363658	0.9291572693	1.5972956855	1.209169714	1.1102426802	1.2043315659	1.2775094426	1.1102426802	0	1.1102426802	1.1253773939	1.3220361176	1.2616637191	1.5224165917	1.1334366664	1.1102426802	1.3219840972	1.9724051073	1.1404061478	2.4208767396	0	1.7417878633	0	2.0270966745	0	2.1712506236	1.4907644998	0	1.5916267291	0.9476303489	1.4070607494	1.8574357901	1.7155964823	1.7335504581
"IFI16"	3.0851592792	2.5692282603	1.7757626548	2.5131101894	2.0617460687	3.697824488	3.7488863045	3.6269832296	2.1274173009	2.8809449449	3.9409261367	4.1585723214	2.5018383136	2.8339810586	3.4621197636	3.4735557191	4.18280083	2.836085471	4.0813092754	2.7481100639	2.1317809716	2.8649757972	3.2162672803	1.9046183465	2.972864602	3.7454319447	1.9069025607	2.0173330467	3.5261606773	2.18528431	2.7677631102	2.9702600581	2.2318203644	3.2895984334	2.0515524092	2.8384870751	2.1551862935	3.7262544135	3.7764518389	2.835109271	1.9006776007	4.3015797524	0.870403932	1.4300519721	2.8726008998	4.5659472475	2.7863577951	4.2278645508	4.0222637565	3.865724241	2.6563489774	3.5817662556	3.6157207934	2.6339668346	1.2694007897	3.1886949464	3.8247164368	3.0527849247	1.2666114538	2.2847277544	3.7332598641	2.8174414742	1.7351443149	2.441594767	2.2082642785	3.8085371363	3.5499429626	3.1904336416	3.2851166027	1.1849276685	2.2317998485	2.7560313357	4.9851539347	1.177233196	4.0887869053	2.8918880345	3.1185280504	2.7481100639	2.8649757972	2.8943027134
"IFI30"	0	0	1.0070908684	1.5100154016	1.1652052067	2.5549756682	3.7274595496	3.3910859667	1.0097135824	0	0	2.5191931549	0	1.5958449165	1.0097135824	1.0097135824	1.9081890838	0	0	1.9435089108	0	1.3400955104	0	1.0322526584	0	1.8957720123	0	1.6163488622	1.1553907516	1.4405563354	0	1.0097135824	0	0	1.631067294	2.3040124211	0	2.8121209955	1.6711181384	0	0.9942768485	0	0	0	0	2.8569371093	2.2633576452	1.3304686077	1.9114365143	1.1047560948	0	0	0	0	0	0	2.2923339508	1.2137873382	0	2.8399961579	2.3800254394	1.4666819746	0	1.4959763653	1.0386380317	1.0242204721	0	0	0	0	0	0	3.233980567	0	2.4508605103	0	1.2963078409	1.9435089108	1.5015283796	1.6158305729
"IFI35"	2.4034612211	3.0114776917	2.2411828278	1.6463099857	2.8047614607	2.4821648148	2.5367892745	2.2135433736	1.9981366169	3.0915989133	2.2956273667	3.8272752727	2.397327072	2.2767544821	2.7239831143	1.7238149325	1.9791634139	1.9445013263	3.0321108925	3.1484805875	0	2.1165800172	2.6369708032	2.5744989343	3.3488758057	2.4886521839	2.2695330503	2.6903012188	1.8928973875	1.7495091139	2.3051863322	2.4226540753	1.4821094388	2.6081651285	1.9178951042	1.777717394	1.1142815511	2.7500417811	2.5554955585	2.595164331	2.5557720953	2.8534231755	2.7247134789	1.6267267301	2.2745055918	3.5377755022	2.8810986803	2.3660335743	2.876295248	3.1893771953	0	2.6423321059	2.4545094394	1.8928973875	2.4079686567	2.1989001739	2.3629571487	2.16755988	2.7935183734	2.031495422	1.6561147148	1.3510152069	3.6980581263	3.3285062968	0	3.3265978137	0	2.9291878458	1.8737449053	1.6882349546	0	1.7975963429	3.9237003536	2.5094628884	3.1528710538	1.6702166605	2.1092546546	3.1484805875	2.5631991373	2.2703084534
"IFIT5"	1.1095959974	1.114399329	0	1.1310517559	1.0392170395	1.0951162309	2.2343201038	1.1239713657	1.5145216164	0	1.7644091731	1.9131679863	1.0110324604	1.5042932677	1.9566914054	1.5506284939	2.2477824505	2.1305840913	2.4303976058	1.6911311805	0	0	0.9797043735	0	1.6123495928	1.5141945589	0	0	1.6924846793	1.2206377782	0.9829219034	1.6029042372	0	1.6474958273	1.344109646	0	0	1.7116429699	1.6714404985	1.6938434963	0	0.9572364544	1.1664826791	1.1239713657	0	1.8323832858	2.0096861672	1.0951162309	1.1019529625	0.9986927787	1.2873026562	1.6142299867	0	0	0	1.9495825428	1.767881011	1.4302383552	1.725279978	0	1.0951162309	1.2376462285	1.722119727	1.1154546444	1.4806525897	0.9441779362	1.9465149365	1.0951162309	1.6764119231	0.9637111169	0	1.6125209562	1.9953234298	0.9572364544	1.1047810659	0	1.874193328	1.6911311805	0	1.3342762346
"IFT27"	0	1.0335783276	1.0335783276	1.0451208237	0	1.359239932	0	1.0402162375	0.9743036362	0	0.9743036362	0	1.0798677877	1.0201797361	0.9743036362	0.9743036362	1.2929712192	0	0	0	1.1199591033	1.0201797361	0	1.6186549054	0	1.0012434008	1.0410160747	0	0	0.9743036362	1.0410160747	0	0	1.0201797361	0	1.3524079823	1.1044673763	1.0302441287	1.4099742821	0	1.34230422	0	1.0695967986	0	0	0	1.2524400967	1.371893003	1.7372584518	0	0.9743036362	0	0	2.0575526073	0	1.4866587555	1.6280481568	0	0	0	1.0201797361	0.9743036362	1.4435750329	0	1.0012434008	0.9878164651	0	0	0	0	0	0	1.0201797361	1.005700083	0	1.0402162375	0	0	0	0.9760761425
